14:00:05bl041414.csvh2	,17189,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:06bl041414.csvh2	,17688,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:06bl041414.csvh2	,18293,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:07bl041414.csvh2	,18898,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:07bl041414.csvh2	,19429,393254633,-766221929,50.00,0,0,333,6,7,4000,8067818,3996,8067818,80.68,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:08bl041414.csvh2	,19953,393254633,-766221929,50.00,0,0,333,6,7,4000,8067818,3996,8067818,80.68,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:08bl041414.csvh2	,20479,393254633,-766221929,50.00,0,0,333,6,7,4000,8063442,3991,8063442,80.63,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:09bl041414.csvh2	,21004,393254633,-766221929,50.00,0,0,333,6,7,4000,8063442,3991,8063442,80.63,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:09bl041414.csvh2	,21537,393254633,-766221929,50.00,0,0,333,6,7,4000,8060618,3996,8060618,80.61,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:10bl041414.csvh2	,22061,393254633,-766221929,50.00,0,0,333,6,7,4000,8060618,3996,8060618,80.61,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:10bl041414.csvh2	,22587,393254633,-766221929,50.00,0,0,333,6,7,4000,8057293,3992,8057293,80.57,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:11bl041414.csvh2	,23117,393254633,-766221929,50.00,0,0,333,6,7,4000,8057293,3992,8057293,80.57,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:12bl041414.csvh2	,23643,393254633,-766221929,50.00,0,0,333,6,7,4000,8049543,3978,8049543,80.50,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:12bl041414.csvh2	,24168,393254633,-766221929,50.00,0,0,333,6,7,4000,8041197,3989,8041197,80.41,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:13bl041414.csvh2	,24694,393254633,-766221929,50.00,0,0,333,6,7,4000,8041197,3989,8041197,80.41,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:13bl041414.csvh2	,25224,393254633,-766221929,50.00,0,0,333,6,7,4000,8035718,3989,8035718,80.36,50.00,0.00,0.00,0.00,0.00,0.00,
