16:04:17cl041416.csv 0	,133746,0,2075179,392518278,-764899743,392518278,-764899743,37,2075179,106250,-29734,2,131,1329,-1296,-7472,2185,0,0,0,0,0,0,1,0,1,0,0,
16:04:17cl041416.csv 0	,134078,0,2075179,392518279,-764899747,392518279,-764899747,35,2075179,102187,-33806,2,134,1332,-1300,-7472,2206,0,0,0,0,0,0,1,0,1,0,0,
16:04:17cl041416.csv 0	,134411,0,2075179,392518279,-764899747,392518279,-764899747,35,2075179,102187,-33806,2,134,1336,-1304,-7493,2206,0,0,0,0,0,0,1,0,1,0,0,
16:04:18cl041416.csv 0	,134744,0,2075179,392518279,-764899747,392518279,-764899747,35,2075179,102187,-33806,2,134,1325,-1291,-7450,2206,0,0,0,0,0,0,1,0,1,0,0,
16:04:18cl041416.csv 0	,135077,0,2075179,392518282,-764899753,392518282,-764899753,35,2075179,106875,-25842,2,143,1334,-1300,-7472,2206,0,0,0,0,0,0,1,0,1,0,0,
16:04:18cl041416.csv 0	,135411,0,2075179,392518282,-764899753,392518282,-764899753,35,2075179,106875,-25842,2,143,1329,-1296,-7472,2228,0,0,0,0,0,0,1,0,1,0,0,
16:23:46cl041416.csv 0	,36597,0,0,0,0,0,0,0,0,0,0,0,0,1359,-1309,-7472,1947,0,0,0,0,0,0,1,0,1,0,0,
16:23:46cl041416.csv 0	,37202,0,0,0,0,0,0,0,0,0,0,0,0,1355,-1317,-7493,2034,0,0,0,0,0,0,1,0,1,0,0,
16:23:47cl041416.csv 0	,37811,0,0,0,0,0,0,0,0,0,0,0,0,1351,-1313,-7450,2055,0,0,0,0,0,0,1,0,1,0,0,
16:23:47cl041416.csv 0	,38340,0,0,392523826,-764897237,392523826,-764897237,1,0,123581,7267,0,92,1351,-1317,-7472,2077,0,0,0,0,0,0,1,0,1,0,0,
16:23:48cl041416.csv 0	,38866,0,0,392523826,-764897237,392523826,-764897237,1,0,123581,7267,0,92,1348,-1309,-7493,2163,0,0,0,0,0,0,1,0,1,0,0,
